Data Category,Data Type,Description,Backend Endpoint,Source API (External),NSE Update Frequency,Current Cache Status,Current TTL,Recommended TTL,User Specific?,Shared Across Users?,Priority
Stock Information,Stock List (NIFTY 100),List of NIFTY 100 stocks,/nse/all-stocks,https://www.nseindia.com/api/equity-stockIndices?index=NIFTY%20100,Very rarely (updates),✅ Cached,300 sec,1800-3600 sec,No,Yes,Medium
Stock Information,All Equities CSV,Complete NSE stock list,/nse/all-stocks (fallback),https://archives.nseindia.com/content/equities/EQUITY_L.csv,Daily,✅ Cached,300 sec,1800-3600 sec,No,Yes,Low
User Data,User Portfolio,User's stock holdings,/portfolio,Database,On user action,⚠️ Partial,30-60 sec,30-60 sec,Yes,No,Medium
User Data,User Watchlists,User's tracked stocks,/watchlist,Database,On user modification,❌ No Cache,None,30-60 sec,Yes,No,Medium
User Data,Watchlist Stocks,Stocks in a watchlist,/watchlist/{id}/stocks,Database,On user modification,❌ No Cache,None,30 sec,Yes,No,Medium
User Data,User Trades,User's trade transactions,/portfolio/trades,Database,On trade execution,❌ No Cache,None,30 sec,Yes,No,Medium
User Data,User Holdings,User's current holdings,/holdings,Database,On trade execution,❌ No Cache,None,30 sec,Yes,No,Medium
User Data,User Profile,User account details,/profile,Database,On user change,❌ No Cache,None,300 sec,Yes,No,Low
Trading Data,Virtual Portfolio,Paper trading positions,/portfolio,Database,On user action,❌ No Cache,None,30 sec,Yes,No,Medium
Trading Data,Virtual Trades,Paper trade history,/portfolio/trades,Database,On trade execution,❌ No Cache,None,30 sec,Yes,No,Medium
Trading Data,Fyers Positions,Live broker positions,/fyers/positions,Fyers API,Every 5-30 seconds,❌ No Cache,None,30 sec,Yes,No,High
Trading Data,Fyers Holdings,Live broker holdings,/fyers/holdings,Fyers API,Daily/On change,❌ No Cache,None,300 sec,Yes,No,Medium
Trading Data,Fyers Orders,Pending & executed orders,/fyers/orders,Fyers API,Every 5-30 sec,❌ No Cache,None,30 sec,Yes,No,High
